message,attributes,tags,timestamp
          ^^^^^^^^^^^^^^^^^^^,"{""level"":""error""}","{""project"":""a2079196-cf10-4d17-9835-c45008c94844"",""environment"":""ca0718ba-e391-48e5-bfaf-86e8d8fd0a50"",""service"":""d4498f87-5339-4253-8d7a-312e4bce0884"",""deployment"":""192afbc4-47e6-435c-86ee-64d9f0afcb98"",""replica"":""b4d92e33-67dc-45a3-8eb1-34e2bb6d5095""}",2026-02-05T07:55:04.215178169Z
"  File ""/usr/local/lib/python3.11/site-packages/celery/beat.py"", line 679, in scheduler","{""level"":""error""}","{""project"":""a2079196-cf10-4d17-9835-c45008c94844"",""environment"":""ca0718ba-e391-48e5-bfaf-86e8d8fd0a50"",""service"":""d4498f87-5339-4253-8d7a-312e4bce0884"",""deployment"":""192afbc4-47e6-435c-86ee-64d9f0afcb98"",""replica"":""b4d92e33-67dc-45a3-8eb1-34e2bb6d5095""}",2026-02-05T07:55:04.215180579Z
    return self.get_scheduler(),"{""level"":""error""}","{""project"":""a2079196-cf10-4d17-9835-c45008c94844"",""environment"":""ca0718ba-e391-48e5-bfaf-86e8d8fd0a50"",""service"":""d4498f87-5339-4253-8d7a-312e4bce0884"",""deployment"":""192afbc4-47e6-435c-86ee-64d9f0afcb98"",""replica"":""b4d92e33-67dc-45a3-8eb1-34e2bb6d5095""}",2026-02-05T07:55:04.215182999Z
           ^^^^^^^^^^^^^^^^^^^^,"{""level"":""error""}","{""project"":""a2079196-cf10-4d17-9835-c45008c94844"",""environment"":""ca0718ba-e391-48e5-bfaf-86e8d8fd0a50"",""service"":""d4498f87-5339-4253-8d7a-312e4bce0884"",""deployment"":""192afbc4-47e6-435c-86ee-64d9f0afcb98"",""replica"":""b4d92e33-67dc-45a3-8eb1-34e2bb6d5095""}",2026-02-05T07:55:04.215185399Z
"  File ""/usr/local/lib/python3.11/site-packages/celery/beat.py"", line 670, in get_scheduler","{""level"":""error""}","{""project"":""a2079196-cf10-4d17-9835-c45008c94844"",""environment"":""ca0718ba-e391-48e5-bfaf-86e8d8fd0a50"",""service"":""d4498f87-5339-4253-8d7a-312e4bce0884"",""deployment"":""192afbc4-47e6-435c-86ee-64d9f0afcb98"",""replica"":""b4d92e33-67dc-45a3-8eb1-34e2bb6d5095""}",2026-02-05T07:55:04.215188799Z
"    return symbol_by_name(self.scheduler_cls, aliases=aliases)(","{""level"":""error""}","{""project"":""a2079196-cf10-4d17-9835-c45008c94844"",""environment"":""ca0718ba-e391-48e5-bfaf-86e8d8fd0a50"",""service"":""d4498f87-5339-4253-8d7a-312e4bce0884"",""deployment"":""192afbc4-47e6-435c-86ee-64d9f0afcb98"",""replica"":""b4d92e33-67dc-45a3-8eb1-34e2bb6d5095""}",2026-02-05T07:55:04.215191089Z
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^,"{""level"":""error""}","{""project"":""a2079196-cf10-4d17-9835-c45008c94844"",""environment"":""ca0718ba-e391-48e5-bfaf-86e8d8fd0a50"",""service"":""d4498f87-5339-4253-8d7a-312e4bce0884"",""deployment"":""192afbc4-47e6-435c-86ee-64d9f0afcb98"",""replica"":""b4d92e33-67dc-45a3-8eb1-34e2bb6d5095""}",2026-02-05T07:55:04.215193759Z
"  File ""/usr/local/lib/python3.11/site-packages/celery/beat.py"", line 515, in __init__","{""level"":""error""}","{""project"":""a2079196-cf10-4d17-9835-c45008c94844"",""environment"":""ca0718ba-e391-48e5-bfaf-86e8d8fd0a50"",""service"":""d4498f87-5339-4253-8d7a-312e4bce0884"",""deployment"":""192afbc4-47e6-435c-86ee-64d9f0afcb98"",""replica"":""b4d92e33-67dc-45a3-8eb1-34e2bb6d5095""}",2026-02-05T07:55:04.215196239Z
"    super().__init__(*args, **kwargs)","{""level"":""error""}","{""project"":""a2079196-cf10-4d17-9835-c45008c94844"",""environment"":""ca0718ba-e391-48e5-bfaf-86e8d8fd0a50"",""service"":""d4498f87-5339-4253-8d7a-312e4bce0884"",""deployment"":""192afbc4-47e6-435c-86ee-64d9f0afcb98"",""replica"":""b4d92e33-67dc-45a3-8eb1-34e2bb6d5095""}",2026-02-05T07:55:04.216269828Z
"[2026-02-05 07:55:04,214: WARNING/MainProcess]  ","{""level"":""error""}","{""project"":""a2079196-cf10-4d17-9835-c45008c94844"",""environment"":""ca0718ba-e391-48e5-bfaf-86e8d8fd0a50"",""service"":""d4498f87-5339-4253-8d7a-312e4bce0884"",""deployment"":""192afbc4-47e6-435c-86ee-64d9f0afcb98"",""replica"":""b4d92e33-67dc-45a3-8eb1-34e2bb6d5095""}",2026-02-05T07:55:04.216280198Z
"  File ""/usr/local/lib/python3.11/site-packages/celery/beat.py"", line 266, in __init__","{""level"":""error""}","{""project"":""a2079196-cf10-4d17-9835-c45008c94844"",""environment"":""ca0718ba-e391-48e5-bfaf-86e8d8fd0a50"",""service"":""d4498f87-5339-4253-8d7a-312e4bce0884"",""deployment"":""192afbc4-47e6-435c-86ee-64d9f0afcb98"",""replica"":""b4d92e33-67dc-45a3-8eb1-34e2bb6d5095""}",2026-02-05T07:55:04.216280738Z
"    entry = self.Entry(**dict(b[key], name=key, app=self.app))","{""level"":""error""}","{""project"":""a2079196-cf10-4d17-9835-c45008c94844"",""environment"":""ca0718ba-e391-48e5-bfaf-86e8d8fd0a50"",""service"":""d4498f87-5339-4253-8d7a-312e4bce0884"",""deployment"":""192afbc4-47e6-435c-86ee-64d9f0afcb98"",""replica"":""b4d92e33-67dc-45a3-8eb1-34e2bb6d5095""}",2026-02-05T07:55:04.216286318Z
                              ~^^^^^,"{""level"":""error""}","{""project"":""a2079196-cf10-4d17-9835-c45008c94844"",""environment"":""ca0718ba-e391-48e5-bfaf-86e8d8fd0a50"",""service"":""d4498f87-5339-4253-8d7a-312e4bce0884"",""deployment"":""192afbc4-47e6-435c-86ee-64d9f0afcb98"",""replica"":""b4d92e33-67dc-45a3-8eb1-34e2bb6d5095""}",2026-02-05T07:55:04.216295088Z
    self.setup_schedule(),"{""level"":""error""}","{""project"":""a2079196-cf10-4d17-9835-c45008c94844"",""environment"":""ca0718ba-e391-48e5-bfaf-86e8d8fd0a50"",""service"":""d4498f87-5339-4253-8d7a-312e4bce0884"",""deployment"":""192afbc4-47e6-435c-86ee-64d9f0afcb98"",""replica"":""b4d92e33-67dc-45a3-8eb1-34e2bb6d5095""}",2026-02-05T07:55:04.216296268Z
